country,year,happiness_score,gdp_per_capita,family,health,freedom,generosity,government_trust,upperwhisker,lowerwhisker,Dystopia + residual,continent
Argentina,2023,6.024,1.590,1.388,0.427,0.587,0.088,0.082,6.147,5.900,1.861,South America
Honduras,2023,6.023,1.115,1.072,0.341,0.613,0.189,0.062,6.196,5.849,2.631,North America
Uzbekistan,2023,6.014,1.227,1.347,0.375,0.740,0.260,0.208,6.130,5.899,1.856,Asia
Malaysia,2023,6.012,1.665,1.155,0.385,0.659,0.222,0.122,6.167,5.858,1.804,Asia
Portugal,2023,5.968,1.758,1.356,0.537,0.693,0.031,0.037,6.076,5.860,1.556,Europe
South Korea,2023,5.951,1.853,1.188,0.603,0.446,0.112,0.163,6.040,5.862,1.587,Asia
Greece,2023,5.931,1.708,1.247,0.535,0.248,0.008,0.097,6.024,5.838,2.089,Europe
Mauritius,2023,5.902,1.589,1.382,0.336,0.574,0.121,0.110,6.013,5.791,1.790,Africa
Thailand,2023,5.843,1.515,1.344,0.461,0.624,0.291,0.013,5.969,5.717,1.594,Asia
Mongolia,2023,5.840,1.379,1.494,0.244,0.425,0.239,0.058,5.930,5.750,2.001,Asia
Kyrgyzstan,2023,5.825,1.061,1.439,0.417,0.735,0.234,0.018,5.913,5.737,1.920,Asia
Moldova,2023,5.819,1.425,1.302,0.375,0.610,0.093,0.020,5.922,5.717,1.995,Europe
China,2023,5.818,1.510,1.249,0.468,0.666,0.115,0.145,5.905,5.731,1.666,Asia
Vietnam,2023,5.763,1.349,1.212,0.381,0.741,0.134,0.122,5.865,5.662,1.824,Asia
Paraguay,2023,5.738,1.428,1.427,0.392,0.678,0.148,0.062,5.851,5.625,1.604,South America
Montenegro,2023,5.722,1.537,1.385,0.424,0.563,0.170,0.061,5.941,5.503,1.581,Europe
Jamaica,2023,5.703,1.305,1.329,0.411,0.587,0.079,0.039,5.876,5.529,1.954,North America
Bolivia,2023,5.684,1.240,1.187,0.329,0.648,0.103,0.060,5.797,5.572,2.118,South America
Russia,2023,5.661,1.680,1.383,0.366,0.449,0.120,0.091,5.734,5.588,1.572,Europe
Bosnia and Herzegovina,2023,5.633,1.467,1.361,0.429,0.485,0.247,0.008,5.775,5.490,1.635,Europe
Colombia,2023,5.630,1.455,1.213,0.486,0.562,0.080,0.068,5.747,5.514,1.765,South America
Dominican Republic,2023,5.569,1.536,1.227,0.351,0.623,0.083,0.195,5.712,5.426,1.553,North America
Ecuador,2023,5.559,1.343,1.173,0.476,0.560,0.079,0.069,5.682,5.436,1.860,South America
Peru,2023,5.526,1.390,1.153,0.499,0.549,0.073,0.027,5.640,5.412,1.835,South America
Philippines,2023,5.523,1.238,1.108,0.286,0.714,0.104,0.141,5.675,5.371,1.931,Asia
Bulgaria,2023,5.466,1.635,1.457,0.408,0.557,0.106,0.013,5.582,5.350,1.289,Europe
Nepal,2023,5.360,0.979,1.027,0.281,0.567,0.215,0.104,5.507,5.214,2.187,Asia
Armenia,2023,5.342,1.466,1.134,0.443,0.551,0.053,0.160,5.470,5.213,1.534,Asia
Tajikistan,2023,5.330,0.972,1.248,0.291,0.599,0.104,0.292,5.452,5.207,1.823,Asia
Algeria,2023,5.329,1.353,1.298,0.409,0.252,0.073,0.152,5.451,5.207,1.791,Africa
Hong Kong S.A.R. of China,2023,5.308,1.951,1.201,0.702,0.407,0.123,0.390,5.403,5.214,0.535,Asia
Albania,2023,5.277,1.449,0.951,0.480,0.549,0.133,0.037,5.406,5.148,1.678,Europe
Indonesia,2023,5.277,1.384,1.169,0.314,0.663,0.422,0.038,5.392,5.161,1.288,Asia
South Africa,2023,5.275,1.417,1.428,0.149,0.464,0.090,0.019,5.417,5.132,1.708,Africa
Congo (Brazzaville),2023,5.267,0.921,0.665,0.145,0.464,0.134,0.136,5.440,5.094,2.802,Africa
North Macedonia,2023,5.254,1.498,1.171,0.408,0.515,0.207,0.020,5.361,5.146,1.435,Europe
Venezuela,2023,5.211,0.000,1.257,0.341,0.369,0.205,0.084,5.336,5.085,2.955,South America
Laos,2023,5.111,1.232,0.853,0.257,0.715,0.185,0.162,5.269,4.952,1.707,Asia
Georgia,2023,5.109,1.477,0.947,0.366,0.539,0.000,0.201,5.219,5.000,1.580,Asia
Guinea,2023,5.072,0.844,0.776,0.072,0.369,0.204,0.102,5.213,4.931,2.705,Africa
Ukraine,2023,5.071,1.358,1.354,0.355,0.551,0.265,0.016,5.187,4.956,1.172,Europe
Ivory Coast,2023,5.053,1.094,0.584,0.120,0.467,0.138,0.131,5.198,4.907,2.519,Africa
Gabon,2023,5.035,1.438,1.021,0.183,0.346,0.036,0.102,5.175,4.894,1.908,Africa
Nigeria,2023,4.981,1.065,1.007,0.092,0.448,0.176,0.013,5.136,4.825,2.181,Africa
Cameroon,2023,4.973,0.965,0.871,0.118,0.405,0.144,0.059,5.112,4.834,2.411,Africa
Mozambique,2023,4.954,0.570,0.885,0.000,0.625,0.161,0.192,5.181,4.727,2.519,Africa
Iraq,2023,4.941,1.281,0.953,0.324,0.351,0.134,0.038,5.099,4.783,1.861,Asia
State of Palestine,2023,4.908,1.144,1.309,,0.416,0.065,0.067,5.089,4.727,,Asia
Morocco,2023,4.903,1.236,0.535,0.337,0.540,0.013,0.085,5.023,4.783,2.158,Africa
Iran,2023,4.876,1.465,1.102,0.411,0.281,0.229,0.130,4.980,4.772,1.259,Asia
Senegal,2023,4.855,0.943,0.727,0.231,0.519,0.142,0.060,4.983,4.727,2.234,Africa
Mauritania,2023,4.724,1.099,0.764,0.244,0.320,0.130,0.195,5.011,4.437,1.973,Africa
Burkina Faso,2023,4.638,0.768,0.814,0.107,0.419,0.188,0.113,4.819,4.456,2.230,Africa
Namibia,2023,4.631,1.289,1.126,0.145,0.383,0.069,0.071,4.766,4.496,1.549,Africa
Turkiye,2023,4.614,1.714,1.148,0.467,0.125,0.095,0.096,4.777,4.450,0.969,Asia
Ghana,2023,4.605,1.101,0.756,0.197,0.526,0.211,0.035,4.729,4.481,1.779,Africa
Pakistan,2023,4.555,1.081,0.657,0.158,0.511,0.141,0.102,4.707,4.404,1.907,Asia
Niger,2023,4.501,0.561,0.628,0.137,0.540,0.154,0.140,4.712,4.291,2.341,Africa
Tunisia,2023,4.497,1.333,0.981,0.422,0.259,0.022,0.016,4.601,4.393,1.463,Africa
Kenya,2023,4.487,1.051,0.881,0.190,0.418,0.291,0.055,4.616,4.357,1.601,Africa
Sri Lanka,2023,4.442,1.422,1.224,0.426,0.539,0.120,0.086,4.603,4.280,0.625,Asia
Uganda,2023,4.432,0.785,1.144,0.201,0.425,0.197,0.051,4.607,4.258,1.628,Africa
Chad,2023,4.397,0.622,0.962,0.043,0.393,0.255,0.088,4.633,4.160,2.034,Africa
Cambodia,2023,4.393,1.025,1.024,0.283,0.768,0.176,0.051,4.508,4.279,1.068,Asia
Benin,2023,4.374,0.924,0.242,0.124,0.481,0.114,0.253,4.504,4.244,2.235,Africa
Myanmar,2023,4.372,1.032,1.125,0.269,0.460,0.400,0.194,4.533,4.212,0.893,Asia
Bangladesh,2023,4.282,1.133,0.513,0.355,0.617,0.139,0.165,4.416,4.148,1.361,Asia
Gambia,2023,4.279,0.761,0.614,0.174,0.286,0.332,0.033,4.484,4.075,2.081,Africa
Mali,2023,4.198,0.763,0.637,0.106,0.441,0.121,0.059,4.319,4.076,2.070,Africa
Egypt,2023,4.170,1.377,0.972,0.326,0.467,0.038,0.250,4.287,4.054,0.740,Africa
Togo,2023,4.137,0.770,0.642,0.161,0.367,0.149,0.136,4.289,3.986,1.913,Africa
Jordan,2023,4.120,1.292,0.980,0.438,0.517,0.056,0.173,4.242,3.997,0.663,Asia
Ethiopia,2023,4.091,0.793,1.114,0.250,0.451,0.283,0.101,4.273,3.908,1.099,Africa
Liberia,2023,4.042,0.628,0.644,0.141,0.471,0.219,0.071,4.325,3.760,1.869,Africa
India,2023,4.036,1.159,0.674,0.252,0.685,0.175,0.111,4.092,3.980,0.979,Asia
Madagascar,2023,4.019,0.632,0.779,0.178,0.187,0.177,0.134,4.199,3.839,1.932,Africa
Zambia,2023,3.982,0.914,0.890,0.095,0.545,0.189,0.080,4.167,3.797,1.270,Africa
Tanzania,2023,3.694,0.836,0.787,0.214,0.607,0.234,0.269,3.840,3.547,0.747,Africa
Comoros,2023,3.545,0.914,0.327,0.215,0.117,0.129,0.145,3.774,3.317,1.699,Africa
Malawi,2023,3.495,0.637,0.479,0.189,0.490,0.139,0.129,3.671,3.320,1.432,Africa
Botswana,2023,3.435,1.471,1.041,0.087,0.480,0.021,0.071,3.702,3.168,0.264,Africa
Congo (Kinshasa),2023,3.207,0.531,0.784,0.105,0.375,0.183,0.068,3.394,3.020,1.162,Africa
Zimbabwe,2023,3.204,0.758,0.881,0.069,0.363,0.112,0.117,3.323,3.084,0.905,Africa
Sierra Leone,2023,3.138,0.670,0.540,0.092,0.371,0.193,0.051,3.299,2.976,1.221,Africa
Lebanon,2023,2.392,1.417,0.476,0.398,0.123,0.061,0.027,2.479,2.305,-0.110,Asia
Afghanistan,2023,1.859,0.645,0.000,0.087,0.000,0.093,0.059,1.923,1.795,2.518,Asia
Finland,2022,7.821,1.892,1.258,0.775,0.736,0.109,0.534,7.886,7.756,2.226,Europe
Denmark,2022,7.636,1.953,1.243,0.777,0.719,0.188,0.532,7.710,7.563,2.320,Europe
Iceland,2022,7.557,1.936,1.320,0.803,0.718,0.270,0.191,7.651,7.464,2.153,Europe
Switzerland,2022,7.512,2.026,1.226,0.822,0.677,0.147,0.461,7.586,7.437,2.137,Europe
