country,year,happiness_score,Log_GDP_per_capita,Social_support,Healthy_life_expectancy_at_birth,Freedom_to_make_life_choices,Generosity,Perceptions_of_corruption,Positive_affect,Negative_affect,continent,Population,imageUrl,wikiUrl,,,,
Denmark,2005,8.019,10.851,0.972,69.6,0.971,NA,0.237,0.86,0.154,Western Europe,5819012,https://cdn-icons-png.flaticon.com/512/323/323320.png,https://en.wikipedia.org/wiki/Denmark,,,,
Denmark,2007,7.834,10.891,0.954,69.92,0.932,0.24,0.206,0.828,0.194,Western Europe,5819012,https://cdn-icons-png.flaticon.com/512/323/323320.png,https://en.wikipedia.org/wiki/Denmark,,,,
Denmark,2015,7.514,10.878,0.96,71.5,0.941,0.222,0.191,0.829,0.218,Western Europe,5819012,https://cdn-icons-png.flaticon.com/512/323/323320.png,https://en.wikipedia.org/wiki/Denmark,,,,
Denmark,2016,7.558,10.903,0.954,71.8,0.948,0.138,0.21,0.836,0.208,Western Europe,5819012,https://cdn-icons-png.flaticon.com/512/323/323320.png,https://en.wikipedia.org/wiki/Denmark,,,,
Denmark,2009,7.683,10.824,0.939,70.24,0.949,0.264,0.206,0.749,0.234,Western Europe,5819012,https://cdn-icons-png.flaticon.com/512/323/323320.png,https://en.wikipedia.org/wiki/Denmark,,,,
Denmark,2008,7.971,10.88,0.954,70.08,0.97,0.272,0.248,0.757,0.163,Western Europe,5819012,https://cdn-icons-png.flaticon.com/512/323/323320.png,https://en.wikipedia.org/wiki/Denmark,,,,
Denmark,2013,7.589,10.851,0.965,71.06,0.92,0.215,0.17,0.862,0.195,Western Europe,5819012,https://cdn-icons-png.flaticon.com/512/323/323320.png,https://en.wikipedia.org/wiki/Denmark,,,,
Denmark,2012,7.52,10.846,0.951,70.84,0.933,0.139,0.187,0.774,0.209,Western Europe,5819012,https://cdn-icons-png.flaticon.com/512/323/323320.png,https://en.wikipedia.org/wiki/Denmark,,,,
Denmark,2017,7.594,10.916,0.952,72.1,0.955,0.155,0.181,0.824,0.206,Western Europe,5819012,https://cdn-icons-png.flaticon.com/512/323/323320.png,https://en.wikipedia.org/wiki/Denmark,,,,
Denmark,2014,7.508,10.862,0.956,71.28,0.942,0.118,0.237,0.832,0.233,Western Europe,5819012,https://cdn-icons-png.flaticon.com/512/323/323320.png,https://en.wikipedia.org/wiki/Denmark,,,,
Denmark,2011,7.788,10.848,0.962,70.62,0.935,0.298,0.22,0.769,0.175,Western Europe,5819012,https://cdn-icons-png.flaticon.com/512/323/323320.png,https://en.wikipedia.org/wiki/Denmark,,,,
Denmark,2010,7.771,10.839,0.975,70.4,0.944,0.242,0.175,0.785,0.155,Western Europe,5819012,https://cdn-icons-png.flaticon.com/512/323/323320.png,https://en.wikipedia.org/wiki/Denmark,,,,
Finland,2013,7.445,10.722,0.941,71.12,0.919,0.04,0.306,0.769,0.195,Western Europe,5550528,https://cdn-icons-png.flaticon.com/512/323/323359.png,https://en.wikipedia.org/wiki/Finland,,,,
Finland,2015,7.448,10.716,0.948,71.6,0.93,0.111,0.223,0.751,0.191,Western Europe,5550528,https://cdn-icons-png.flaticon.com/512/323/323359.png,https://en.wikipedia.org/wiki/Finland,,,,
Finland,2016,7.66,10.74,0.954,71.7,0.948,-0.027,0.25,0.797,0.182,Western Europe,5550528,https://cdn-icons-png.flaticon.com/512/323/323359.png,https://en.wikipedia.org/wiki/Finland,,,,
