country,year,happiness_score,Log_GDP_per_capita,Social_support,Healthy_life_expectancy_at_birth,Freedom_to_make_life_choices,Generosity,Perceptions_of_corruption,Positive_affect,Negative_affect,continent,Population,imageUrl,wikiUrl,,,,
United States of America,2008,7.28,10.922,0.953,68.38,0.878,0.255,0.668,0.872,0.227,North America and ANZ,333437749,https://img.icons8.com/fluency/452/usa-circular.png,https://en.wikipedia.org/wiki/United_States,,,,
United States of America,2009,7.158,10.888,0.912,68.54,0.831,0.201,0.665,0.843,0.262,North America and ANZ,333437749,https://img.icons8.com/fluency/452/usa-circular.png,https://en.wikipedia.org/wiki/United_States,,,,
United States of America,2010,7.164,10.905,0.926,68.7,0.828,0.244,0.69,0.861,0.231,North America and ANZ,333437749,https://img.icons8.com/fluency/452/usa-circular.png,https://en.wikipedia.org/wiki/United_States,,,,
United States of America,2011,7.115,10.913,0.922,68.68,0.863,0.161,0.697,0.836,0.273,North America and ANZ,333437749,https://img.icons8.com/fluency/452/usa-circular.png,https://en.wikipedia.org/wiki/United_States,,,,
United States of America,2012,7.026,10.928,0.903,68.66,0.823,0.215,0.71,0.834,0.26,North America and ANZ,333437749,https://img.icons8.com/fluency/452/usa-circular.png,https://en.wikipedia.org/wiki/United_States,,,,
United States of America,2013,7.249,10.939,0.925,68.64,0.792,0.274,0.747,0.814,0.26,North America and ANZ,333437749,https://img.icons8.com/fluency/452/usa-circular.png,https://en.wikipedia.org/wiki/United_States,,,,
United States of America,2014,7.151,10.956,0.902,68.62,0.866,0.221,0.702,0.834,0.281,North America and ANZ,333437749,https://img.icons8.com/fluency/452/usa-circular.png,https://en.wikipedia.org/wiki/United_States,,,,
United States of America,2015,6.864,10.977,0.904,68.6,0.849,0.219,0.698,0.814,0.275,North America and ANZ,333437749,https://img.icons8.com/fluency/452/usa-circular.png,https://en.wikipedia.org/wiki/United_States,,,,
United States of America,2016,6.804,10.986,0.897,68.5,0.758,0.144,0.739,0.806,0.264,North America and ANZ,333437749,https://img.icons8.com/fluency/452/usa-circular.png,https://en.wikipedia.org/wiki/United_States,,,,
United States of America,2017,6.992,11.001,0.921,68.4,0.868,0.197,0.681,0.827,0.268,North America and ANZ,333437749,https://img.icons8.com/fluency/452/usa-circular.png,https://en.wikipedia.org/wiki/United_States,,,,
United States of America,2018,6.883,11.025,0.904,68.3,0.825,0.116,0.71,0.815,0.292,North America and ANZ,333437749,https://img.icons8.com/fluency/452/usa-circular.png,https://en.wikipedia.org/wiki/United_States,,,,
United States of America,2019,6.944,11.043,0.917,68.2,0.836,0.144,0.707,0.815,0.244,North America and ANZ,333437749,https://img.icons8.com/fluency/452/usa-circular.png,https://en.wikipedia.org/wiki/United_States,,,,
United States of America,2020,7.028,11.001,0.937,68.1,0.85,0.034,0.678,0.787,0.295,North America and ANZ,333437749,https://img.icons8.com/fluency/452/usa-circular.png,https://en.wikipedia.org/wiki/United_States,,,,
Austria,2006,7.122,10.842,0.936,70.76,0.941,0.302,0.49,0.823,0.174,Western Europe,9053317,https://img.icons8.com/fluency/344/austria-circular.png,https://en.wikipedia.org/wiki/Austria,,,,
Austria,2019,7.195,10.939,0.964,73.3,0.903,0.06,0.457,0.774,0.205,Western Europe,9053317,https://img.icons8.com/fluency/344/austria-circular.png,https://en.wikipedia.org/wiki/Austria,,,,
Austria,2013,7.499,10.883,0.95,71.82,0.922,0.168,0.679,0.787,0.163,Western Europe,9053317,https://img.icons8.com/fluency/344/austria-circular.png,https://en.wikipedia.org/wiki/Austria,,,,
Austria,2014,7.29,10.883,0.95,71.82,0.922,0.168,0.679,0.787,0.163,Western Europe,9053317,https://img.icons8.com/fluency/344/austria-circular.png,https://en.wikipedia.org/wiki/Austria,,,,
Austria,2010,7.303,10.861,0.914,71.4,0.896,0.131,0.546,0.815,0.156,Western Europe,9053317,https://img.icons8.com/fluency/344/austria-circular.png,https://en.wikipedia.org/wiki/Austria,,,,
Austria,2011,7.471,10.887,0.944,71.54,0.939,0.132,0.703,0.789,0.145,Western Europe,9053317,https://img.icons8.com/fluency/344/austria-circular.png,https://en.wikipedia.org/wiki/Austria,,,,
Austria,2008,7.181,10.887,0.935,71.08,0.879,0.291,0.614,0.832,0.173,Western Europe,9053317,https://img.icons8.com/fluency/344/austria-circular.png,https://en.wikipedia.org/wiki/Austria,,,,
Austria,2009,7.191,10.887,0.935,71.08,0.879,0.291,0.614,0.832,0.173,Western Europe,9053317,https://img.icons8.com/fluency/344/austria-circular.png,https://en.wikipedia.org/wiki/Austria,,,,
Austria,2015,7.076,10.881,0.928,72.1,0.9,0.099,0.557,0.798,0.164,Western Europe,9053317,https://img.icons8.com/fluency/344/austria-circular.png,https://en.wikipedia.org/wiki/Austria,,,,
Austria,2018,7.396,10.928,0.912,73,0.904,0.053,0.523,0.752,0.226,Western Europe,9053317,https://img.icons8.com/fluency/344/austria-circular.png,https://en.wikipedia.org/wiki/Austria,,,,
Austria,2012,7.401,10.889,0.945,71.68,0.92,0.118,0.771,0.822,0.157,Western Europe,9053317,https://img.icons8.com/fluency/344/austria-circular.png,https://en.wikipedia.org/wiki/Austria,,,,
Austria,2016,7.048,10.891,0.926,72.4,0.889,0.08,0.524,0.756,0.197,Western Europe,9053317,https://img.icons8.com/fluency/344/austria-circular.png,https://en.wikipedia.org/wiki/Austria,,,,
Austria,2020,7.213,10.851,0.925,73.6,0.912,0.011,0.464,0.769,0.206,Western Europe,9053317,https://img.icons8.com/fluency/344/austria-circular.png,https://en.wikipedia.org/wiki/Austria,,,,
Austria,2017,7.294,10.908,0.906,72.7,0.89,0.133,0.518,0.748,0.18,Western Europe,9053317,https://img.icons8.com/fluency/344/austria-circular.png,https://en.wikipedia.org/wiki/Austria,,,,
