country,year,happiness_score,Log_GDP_per_capita,Social_support,Healthy_life_expectancy_at_birth,Freedom_to_make_life_choices,Generosity,Perceptions_of_corruption,Positive_affect,Negative_affect,continent
Papua New Guinea,2023,5.072,7.88,0.649,54.185,0.659,0.125,0.787,0,0,Australia
Paraguay,2023,5.738,9.51,0.906,65.9,0.891,0.021,0.843,0,0,South America
Peru,2023,5.526,9.402,0.798,69.85,0.794,-0.119,0.892,0,0,South America
Philippines,2023,5.523,8.979,0.78,62.038,0.919,-0.06,0.732,0,0,Asia
Poland,2023,6.26,10.453,0.925,69.049,0.765,-0.031,0.736,0,0,Europe
Portugal,2023,5.968,10.429,0.878,71.25,0.902,-0.196,0.878,0,0,Europe
Romania,2023,6.589,10.339,0.848,67.051,0.856,-0.172,0.929,0,0,Europe
Russia,2023,5.661,10.21,0.889,64.947,0.719,-0.03,0.801,0,0,Europe
Saudi Arabia,2023,6.463,10.715,0.884,64.399,0.894,-0.081,0.691,0,0,Asia
Senegal,2023,4.855,8.155,0.629,59.999,0.772,0.011,0.846,0,0,Africa
Serbia,2023,6.144,9.854,0.873,67.088,0.845,0.204,0.816,0,0,Europe
Sierra Leone,2023,3.138,7.394,0.555,54.9,0.66,0.105,0.858,0,0,Africa
Singapore,2023,6.587,11.571,0.878,73.8,0.878,0.063,0.146,0,0,Asia
Slovakia,2023,6.469,10.353,0.953,68.838,0.753,-0.016,0.898,0,0,Europe
Slovenia,2023,6.65,10.588,0.951,71.052,0.913,0.014,0.771,0,0,Europe
South Africa,2023,5.275,9.478,0.907,56.989,0.73,-0.087,0.902,0,0,Africa
South Korea,2023,5.951,10.693,0.812,73.65,0.717,-0.046,0.701,0,0,Asia
Spain,2023,6.436,10.54,0.932,72.35,0.782,-0.066,0.711,0,0,Europe
Sri Lanka,2023,4.442,9.491,0.826,67.15,0.787,-0.03,0.808,0,0,Asia
State of Palestine,2023,4.908,8.716,0.859,,0.694,-0.132,0.836,0,0,Asia
Sweden,2023,7.395,10.883,0.939,72.15,0.948,0.165,0.202,0,0,Europe
Switzerland,2023,7.24,11.164,0.92,72.9,0.891,0.027,0.266,0,0,Europe
Taiwan,2023,6.535,10.797,0.884,69.6,0.804,-0.129,0.681,0,0,Asia
Tajikistan,2023,5.33,8.237,0.836,62.226,0.832,-0.06,0.522,0,0,Asia
Tanzania,2023,3.694,7.857,0.653,59.401,0.838,0.182,0.554,0,0,Africa
Thailand,2023,5.843,9.751,0.874,68.45,0.85,0.289,0.91,0,0,Asia
Togo,2023,4.137,7.673,0.595,57.449,0.657,0.024,0.74,0,0,Africa
Tunisia,2023,4.497,9.244,0.73,67,0.576,-0.213,0.907,0,0,Africa
Turkey,2023,4.614,10.307,0.796,68.663,0.475,-0.077,0.795,0,0,Asia
Uganda,2023,4.432,7.716,0.794,58.913,0.701,0.114,0.857,0,0,Africa
Ukraine,2023,5.071,9.314,0.878,64.55,0.795,0.24,0.907,0,0,Europe
United Arab Emirates,2023,6.571,11.145,0.826,66.243,0.942,0.096,0.584,0,0,Asia
United Kingdom,2023,6.796,10.704,0.882,70.3,0.852,0.253,0.454,0,0,Europe
United States of America,2023,6.894,11.048,0.919,65.85,0.8,0.137,0.689,0,0,North America
Uruguay,2023,6.494,10.037,0.913,67.5,0.895,-0.065,0.575,0,0,South America
Uzbekistan,2023,6.014,8.948,0.875,65.301,0.938,0.23,0.638,0,0,Asia
Venezuela,2023,5.211,5.527,0.839,64.05,0.659,0.128,0.811,0,0,South America
Vietnam,2023,5.763,9.287,0.821,65.502,0.939,-0.004,0.759,0,0,Asia
Zambia,2023,3.982,8.074,0.694,55.032,0.791,0.098,0.818,0,0,Africa
Zimbabwe,2023,3.204,7.641,0.69,54.05,0.654,-0.046,0.766,0,0,Africa
,,,,,,,,,,,
